居住地_省,居住地_市,就业地_省,就业地_市,count
安徽省,合肥市,安徽省,宿州市,736
浙江省,嘉兴市,安徽省,宿州市,113
浙江省,宁波市,安徽省,宿州市,277
安徽省,安庆市,安徽省,宿州市,37
安徽省,宣城市,安徽省,宿州市,40
江苏省,宿迁市,安徽省,宿州市,235
江苏省,常州市,安徽省,宿州市,154
江苏省,徐州市,安徽省,宿州市,2294
江苏省,扬州市,安徽省,宿州市,51
江苏省,无锡市,安徽省,宿州市,208
浙江省,杭州市,安徽省,宿州市,314
安徽省,池州市,安徽省,宿州市,33
江苏省,泰州市,安徽省,宿州市,35
安徽省,淮北市,安徽省,宿州市,1647
安徽省,淮南市,安徽省,宿州市,61
江苏省,淮安市,安徽省,宿州市,48
浙江省,温州市,安徽省,宿州市,155
浙江省,湖州市,安徽省,宿州市,117
安徽省,滁州市,安徽省,宿州市,133
江苏省,盐城市,安徽省,宿州市,51
浙江省,绍兴市,安徽省,宿州市,64
浙江省,舟山市,安徽省,宿州市,12
安徽省,芜湖市,安徽省,宿州市,115
江苏省,苏州市,安徽省,宿州市,695
安徽省,蚌埠市,安徽省,宿州市,496
浙江省,衢州市,安徽省,宿州市,15
江苏省,连云港市,安徽省,宿州市,27
浙江省,金华市,安徽省,宿州市,77
安徽省,铜陵市,安徽省,宿州市,16
江苏省,镇江市,安徽省,宿州市,52
安徽省,阜阳市,安徽省,宿州市,171
安徽省,马鞍山市,安徽省,宿州市,66
安徽省,黄山市,安徽省,宿州市,24
上海市,上海市,江苏省,宿迁市,668
浙江省,丽水市,江苏省,宿迁市,4
安徽省,亳州市,江苏省,宿迁市,22
安徽省,六安市,江苏省,宿迁市,10
江苏省,南京市,江苏省,宿迁市,919
江苏省,南通市,江苏省,宿迁市,120
浙江省,台州市,江苏省,宿迁市,21
安徽省,合肥市,江苏省,宿迁市,45
浙江省,嘉兴市,江苏省,宿迁市,60
浙江省,宁波市,江苏省,宿迁市,88
安徽省,安庆市,江苏省,宿迁市,7
安徽省,宣城市,江苏省,宿迁市,13
安徽省,宿州市,江苏省,宿迁市,387
江苏省,常州市,江苏省,宿迁市,221
江苏省,徐州市,江苏省,宿迁市,1345
江苏省,扬州市,江苏省,宿迁市,178
江苏省,无锡市,江苏省,宿迁市,336
浙江省,杭州市,江苏省,宿迁市,162
安徽省,池州市,江苏省,宿迁市,3
江苏省,泰州市,江苏省,宿迁市,107
安徽省,淮北市,江苏省,宿迁市,19
安徽省,淮南市,江苏省,宿迁市,15
江苏省,淮安市,江苏省,宿迁市,921
浙江省,温州市,江苏省,宿迁市,131
浙江省,湖州市,江苏省,宿迁市,45
安徽省,滁州市,江苏省,宿迁市,100
江苏省,盐城市,江苏省,宿迁市,122
浙江省,绍兴市,江苏省,宿迁市,22
浙江省,舟山市,江苏省,宿迁市,6
安徽省,芜湖市,江苏省,宿迁市,21
江苏省,苏州市,江苏省,宿迁市,765
安徽省,蚌埠市,江苏省,宿迁市,137
浙江省,衢州市,江苏省,宿迁市,7
江苏省,连云港市,江苏省,宿迁市,1801
浙江省,金华市,江苏省,宿迁市,45
安徽省,铜陵市,江苏省,宿迁市,5
江苏省,镇江市,江苏省,宿迁市,83
安徽省,阜阳市,江苏省,宿迁市,25
安徽省,马鞍山市,江苏省,宿迁市,36
安徽省,黄山市,江苏省,宿迁市,4
上海市,上海市,江苏省,常州市,1430
浙江省,丽水市,江苏省,常州市,14
安徽省,亳州市,江苏省,常州市,171
安徽省,六安市,江苏省,常州市,134
江苏省,南京市,江苏省,常州市,1307
江苏省,南通市,江苏省,常州市,420
浙江省,台州市,江苏省,常州市,53
安徽省,合肥市,江苏省,常州市,286
浙江省,嘉兴市,江苏省,常州市,161
浙江省,宁波市,江苏省,常州市,164
安徽省,安庆市,江苏省,常州市,55
安徽省,宣城市,江苏省,常州市,341
安徽省,宿州市,江苏省,常州市,211
江苏省,宿迁市,江苏省,常州市,335
江苏省,徐州市,江苏省,常州市,424
江苏省,扬州市,江苏省,常州市,345
江苏省,无锡市,江苏省,常州市,5756
浙江省,杭州市,江苏省,常州市,332
安徽省,池州市,江苏省,常州市,64
江苏省,泰州市,江苏省,常州市,513
安徽省,淮北市,江苏省,常州市,61
安徽省,淮南市,江苏省,常州市,46
江苏省,淮安市,江苏省,常州市,288
浙江省,温州市,江苏省,常州市,87
浙江省,湖州市,江苏省,常州市,131
安徽省,滁州市,江苏省,常州市,153
江苏省,盐城市,江苏省,常州市,399
浙江省,绍兴市,江苏省,常州市,89
浙江省,舟山市,江苏省,常州市,19
安徽省,芜湖市,江苏省,常州市,106
江苏省,苏州市,江苏省,常州市,1739
安徽省,蚌埠市,江苏省,常州市,94
浙江省,衢州市,江苏省,常州市,23
江苏省,连云港市,江苏省,常州市,283
浙江省,金华市,江苏省,常州市,99
安徽省,铜陵市,江苏省,常州市,64
江苏省,镇江市,江苏省,常州市,3625
安徽省,阜阳市,江苏省,常州市,188
安徽省,马鞍山市,江苏省,常州市,81
安徽省,黄山市,江苏省,常州市,32
上海市,上海市,江苏省,徐州市,1224
浙江省,丽水市,江苏省,徐州市,9
安徽省,亳州市,江苏省,徐州市,109
安徽省,六安市,江苏省,徐州市,42
江苏省,南京市,江苏省,徐州市,1045
江苏省,南通市,江苏省,徐州市,270
浙江省,台州市,江苏省,徐州市,49
安徽省,合肥市,江苏省,徐州市,201
浙江省,嘉兴市,江苏省,徐州市,110
浙江省,宁波市,江苏省,徐州市,209
安徽省,安庆市,江苏省,徐州市,34
安徽省,宣城市,江苏省,徐州市,25
安徽省,宿州市,江苏省,徐州市,3754
江苏省,宿迁市,江苏省,徐州市,974
江苏省,常州市,江苏省,徐州市,305
江苏省,扬州市,江苏省,徐州市,217
江苏省,无锡市,江苏省,徐州市,442
浙江省,杭州市,江苏省,徐州市,258
安徽省,池州市,江苏省,徐州市,21
江苏省,泰州市,江苏省,徐州市,121
安徽省,淮北市,江苏省,徐州市,274
安徽省,淮南市,江苏省,徐州市,33
江苏省,淮安市,江苏省,徐州市,271
浙江省,温州市,江苏省,徐州市,69
